respondent_id,submitted,Tutorial Class,Degree,Programming Experience,Experience in Python,Used Jupyter Notebooks,Other Programming Language Competency,SQL Competency,RDBMS Competency
158,2020-02-27 21:25:02 UTC,SIT Lab 117,"Bachelor of Advanced Computing, 2nd year",1,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R",Can interpret some SQL statements.,"Microsoft Access,MySQL"
159,2020-02-27 21:24:37 UTC,R09A,"Bachelor of Advanced Computing

First year

(changed my degree)",2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R",Written some SQL queries already.,PostgreSQL
160,2020-02-27 21:24:35 UTC,Friday 8am adv,"Bsci/Badvstudies

maj: data science + genetics

yr:2",1,Competent Python programmer (familiar with eg. functions and classes),No,,Written some SQL queries already.,
161,2020-02-27 21:24:27 UTC,F08A,"Bachelor of Commerce, major Finance and Data Sci, Year 2",3,Competent Python programmer (familiar with eg. functions and classes),Yes,"C,Java","Heard of it, but never used it.",
162,2020-02-27 21:23:38 UTC,SIT room116/8 am/Fri,second year of bachelor of engineering honor(software).,4,Have written complex Python programs already.,No,"C,Java,Visual Basic",Can already create tables and write complex SQL queries.,MySQL
163,2020-02-27 21:23:34 UTC,Friday 8-10am,"BSc - Health (major), Data Science (minor)",1,Basic understanding,Yes,R,"Heard of it, but never used it.",
164,2020-02-27 21:23:25 UTC,F08B,"Neuroscience, 4th year on exchange from Northeastern University in Boston, MA USA.",1,Basic understanding,No,Matlab,"Heard of it, but never used it.",
165,2020-02-27 21:22:50 UTC,F08A,Bachelor of Science/ Doctor of Medicine,1,Written some simple Python programs,Yes,,Never heard of SQL.,
166,2020-02-27 21:22:35 UTC,"Sit 116, Friday 8 am - 10 am","Advanced Computing, 2nd year",1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,R",Written some SQL queries already.,"Oracle,SQLite"
167,2020-02-27 21:19:26 UTC,DATA2901,"Bachelor of Science/Advanced Studies(Dalyell Scholars), 2nd year",1,Competent Python programmer (familiar with eg. functions and classes),Yes,"R,Other (answer below in comment)",Can already create tables and write complex SQL queries.,"MySQL,PostgreSQL"
168,2020-02-27 21:18:36 UTC,Friday 8am SIT116,2nd Year Advanced Computing,6,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R",Can interpret some SQL statements.,Microsoft Access
169,2020-02-27 21:18:31 UTC,data2901,Second year of Commerce Degree,1,Competent Python programmer (familiar with eg. functions and classes),No,Other (answer below in comment),Written some SQL queries already.,"Microsoft Access,MySQL"
170,2020-02-27 21:17:42 UTC,F08C,"Bachelor of Science/Bachelor of Advanced Studies, 3rd year",1,Competent Python programmer (familiar with eg. functions and classes),Yes,R,"Heard of it, but never used it.",
171,2020-02-27 21:17:07 UTC,W13B,3rd year Bachelor of Advanced computing/ Bachelor of Commerce,2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,Matlab",Can already create tables and write complex SQL queries.,"MongoDB,PostgreSQL,SQLite"
172,2020-02-27 21:15:47 UTC,Friday 8,Bachelor of Science and Bachelor of Advanced Studies 2nd year,1,Have written complex Python programs already.,Yes,"Java,R","Heard of it, but never used it.",Microsoft Access
173,2020-02-27 21:14:33 UTC,F08C,Bachelor of Science/Bachelor of Advanced Studies (Majors in Computer Science and Data Science).,5,Have written complex Python programs already.,Yes,"Java,Javascript/ECMAScript,R",Can interpret some SQL statements.,Microsoft Access
174,2020-02-27 21:14:29 UTC,DATA2001,Bachelor of Science 3rd year,1,Competent Python programmer (familiar with eg. functions and classes),No,Matlab,Never heard of SQL.,
175,2020-02-27 21:14:10 UTC,"SIT 116 Friday 8 to 10 pm

 ",Bachelor of Advanced Computing (Major: Computation Data Science and Finance),1,Have written complex Python programs already.,Yes,"Java,R","Heard of it, but never used it.",Oracle
176,2020-02-27 21:14:08 UTC,8:00-10:00 am RM 116,"BS in CS,  Junior, study abroad from Georgetown University",2,Competent Python programmer (familiar with eg. functions and classes),Yes,"C++,Java,Other (answer below in comment)","Heard of it, but never used it.",
177,2020-02-27 21:12:47 UTC,Friday 8-10 Lab 118,"Bachelor of science and Advanced studies (2nd year)

 ",1,Written some simple Python programs,Yes,,"Heard of it, but never used it.",
178,2020-02-27 21:12:05 UTC,F08C,"Science/Adv Studies, 2nd yr",1,Written some simple Python programs,Yes,,"Heard of it, but never used it.",
179,2020-02-27 21:12:01 UTC,yes,computer science year2,1,Competent Python programmer (familiar with eg. functions and classes),Yes,Java,Written some SQL queries already.,MySQL
180,2020-02-27 21:02:27 UTC,"Friday 2pm - 4pm, SIT Lab 117","Bachelor of Science and Advanced Studies, majoring in Data Science and Computer Science, 2nd Year",2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R",Written some SQL queries already.,
181,2020-02-27 20:06:44 UTC,"At 12pm on Friday, SIT 116.",3rd year. Bachelor of Computer Science and Technology. ,3,Basic understanding,Yes,"C,Java,R",Can interpret some SQL statements.,PostgreSQL
182,2020-02-27 20:04:23 UTC,F12D,"Under graduated,  second year.",2,Written some simple Python programs,No,"Java,R","Heard of it, but never used it.",MySQL
183,2020-02-27 17:43:44 UTC,Online tutorial F08D,First year computer science ,1,Competent Python programmer (familiar with eg. functions and classes),No,,Never heard of SQL.,
184,2020-02-27 14:47:41 UTC,Data2001,"the second year , I just study data1002 and 1001 before about program.",0,None,No,R,Never heard of SQL.,Microsoft Access
185,2020-02-27 13:21:52 UTC,F10B,"Bachelor of Advanced Computing

Second Year",3,Written some simple Python programs,No,,"Heard of it, but never used it.",
186,2020-02-27 11:44:00 UTC,"Friday 10-12, SIT lab 116","2nd year, bachelor of science

 ",1,Written some simple Python programs,No,R,Never heard of SQL.,"Microsoft Access,Other (answer as comment below)"
187,2020-02-27 10:17:55 UTC,Yes. F10A,Bachelor of Science. Second.,0.5,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",Oracle
188,2020-02-27 10:09:48 UTC,F10C,"Bachelor of Advanced Computing, Second year",1,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",Microsoft Access
189,2020-02-27 09:49:16 UTC,Yes,Bach of science second year,2,Competent Python programmer (familiar with eg. functions and classes),Yes,R,"Heard of it, but never used it.",
190,2020-02-27 09:07:11 UTC,Friday 8:00-10:00 am (Adv) ,Bachelor of Science/ Advanced studies - 2nd Year ,4,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",
191,2020-02-27 08:54:26 UTC,F10A,"Y2

advanced computing & science",1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,R",Can interpret some SQL statements.,
192,2020-02-27 07:32:39 UTC,F10D,"Degree: Bachelor of Advanced computing/ Bachelor of Medical Science

Year: 2nd year",1,Written some simple Python programs,No,,"Heard of it, but never used it.",
